Order Date,Order ID,Customer ID,Customer Segment,Product,Category,Region,State,Sales,Quantity,Discount,Cost,Profit,Payment Method,Shipping Mode
2025-07-07,ORD-00022,CUST-10047,Small Business,Tablet Air,Electronics,East,Bihar,2850.5,3,0.05,2417.18,433.32,UPI,Standard
2025-12-24,ORD-00023,CUST-10302,Corporate,USB Hub,Accessories,South,Karnataka,1414.76,3,0.05,876.98,537.78,Debit Card,Standard
2025-10-15,ORD-00024,CUST-10207,Small Business,Desk Organizer,Office Supplies,South,Telangana,2021.23,7,0.15,1704.94,316.29,Debit Card,Standard
2025-12-10,ORD-00025,CUST-10241,Consumer,Monitor 27,Electronics,North,Uttar Pradesh,4053.16,4,0.1,3370.57,682.59,Cash,Standard
2025-08-29,ORD-00026,CUST-10246,Corporate,Mouse,Accessories,West,Goa,2203.9,6,0.1,1854.19,349.7,UPI,Express
2025-12-24,ORD-00027,CUST-10212,Corporate,Office Chair,Furniture,East,Odisha,2292.17,4,0.15,1433.77,858.41,UPI,Express
2025-08-08,ORD-00028,CUST-10088,Consumer,Bookshelf,Furniture,West,Gujarat,3753.05,5,0.1,2308.27,1444.78,Debit Card,Standard
2025-07-17,ORD-00029,CUST-10283,Small Business,USB Hub,Accessories,West,Maharashtra,1934.53,4,0.1,1658.17,276.36,UPI,Standard
2025-10-25,ORD-00030,CUST-10194,Corporate,Monitor 27,Electronics,North,Delhi,3167.51,2,0.0,2002.34,1165.18,Bank Transfer,Standard
2025-11-14,ORD-00031,CUST-10191,Consumer,Monitor 27,Electronics,North,Delhi,9055.37,7,0.0,6253.52,2801.85,Credit Card,Express
2025-01-25,ORD-00032,CUST-10112,Consumer,Printer Paper,Office Supplies,South,Tamil Nadu,996.24,5,0.2,714.1,282.14,Debit Card,Standard
2025-11-29,ORD-00033,CUST-10004,Small Business,Monitor 27,Electronics,East,West Bengal,7426.12,6,0.1,4584.38,2841.73,UPI,Standard
2025-09-10,ORD-00034,CUST-10194,Corporate,Printer Paper,Office Supplies,East,West Bengal,2312.82,7,0.05,1355.75,957.07,Bank Transfer,Express
2025-11-24,ORD-00035,CUST-10121,Corporate,Smartphone X,Electronics,East,Jharkhand,1895.64,2,0.1,1664.81,230.84,Debit Card,Standard
2025-09-19,ORD-00036,CUST-10231,Corporate,Tablet Air,Electronics,West,Gujarat,1507.92,1,0.0,1271.18,236.75,UPI,Standard
2025-12-05,ORD-00037,CUST-10128,Consumer,Laptop Pro,Electronics,West,Gujarat,3465.03,5,0.15,2958.1,506.93,Credit Card,Standard
2025-04-11,ORD-00038,CUST-10341,Corporate,Office Chair,Furniture,East,Jharkhand,1679.44,3,0.0,1117.45,561.99,UPI,Express
2025-03-10,ORD-00039,CUST-10239,Small Business,Smartphone X,Electronics,West,Rajasthan,2926.15,4,0.15,1890.38,1035.77,UPI,Standard
2025-03-13,ORD-00040,CUST-10160,Consumer,Smartphone X,Electronics,North,Haryana,1603.85,2,0.1,1135.14,468.71,Bank Transfer,Express
2025-04-03,ORD-00041,CUST-10248,Corporate,USB Hub,Accessories,East,West Bengal,1619.71,3,0.05,1159.71,460.01,Debit Card,Express
2025-03-20,ORD-00042,CUST-10227,Consumer,Office Chair,Furniture,South,Karnataka,2524.46,3,0.0,1468.43,1056.03,Cash,Express
2025-06-11,ORD-00043,CUST-10218,Consumer,Office Chair,Furniture,North,Haryana,1885.61,3,0.15,1534.46,351.15,Credit Card,Standard
2025-03-14,ORD-00044,CUST-10203,Consumer,Laptop Pro,Electronics,East,Jharkhand,6853.49,6,0.0,6024.22,829.27,Bank Transfer,Express
2025-02-27,ORD-00045,CUST-10327,Small Business,Conference Table,Furniture,South,Tamil Nadu,4104.96,5,0.0,3031.95,1073.01,Bank Transfer,Standard
2025-07-11,ORD-00046,CUST-10112,Consumer,Smartphone X,Electronics,South,Kerala,3484.47,4,0.15,2426.86,1057.62,Bank Transfer,Same Day
2025-10-17,ORD-00047,CUST-10152,Consumer,Desk Organizer,Office Supplies,East,Bihar,202.25,1,0.05,141.13,61.11,Cash,Express
2025-02-19,ORD-00048,CUST-10089,Corporate,Laptop Pro,Electronics,West,Goa,5133.58,4,0.05,3125.44,2008.14,Bank Transfer,Standard
2025-07-06,ORD-00049,CUST-10200,Consumer,Keyboard,Accessories,North,Haryana,605.91,2,0.05,399.81,206.1,Bank Transfer,Express
2025-08-29,ORD-00050,CUST-10346,Corporate,USB Hub,Accessories,West,Rajasthan,1360.53,3,0.15,994.06,366.47,Bank Transfer,Standard
2025-09-15,ORD-00051,CUST-10213,Small Business,Smartphone X,Electronics,West,Gujarat,2659.2,3,0.05,1886.85,772.35,Debit Card,Standard
2025-02-08,ORD-00052,CUST-10073,Consumer,Tablet Air,Electronics,West,Goa,1420.36,1,0.0,1056.05,364.31,Bank Transfer,Standard
2025-09-25,ORD-00053,CUST-10323,Consumer,Laptop Pro,Electronics,South,Kerala,4242.62,3,0.05,3541.4,701.22,Cash,Standard
2025-01-10,ORD-00054,CUST-10277,Small Business,Printer Paper,Office Supplies,North,Delhi,420.15,2,0.0,272.08,148.07,Bank Transfer,Express
2025-03-28,ORD-00055,CUST-10155,Consumer,Laptop Pro,Electronics,North,Delhi,4715.64,6,0.05,2774.21,1941.43,Bank Transfer,Express
2025-04-27,ORD-00056,CUST-10052,Consumer,Webcam,Accessories,South,Tamil Nadu,4144.4,7,0.0,2451.28,1693.12,UPI,Standard
2025-11-08,ORD-00057,CUST-10141,Small Business,Desk Organizer,Office Supplies,East,Odisha,285.72,1,0.0,177.22,108.5,Debit Card,Express
2025-03-12,ORD-00058,CUST-10282,Small Business,Webcam,Accessories,North,Uttar Pradesh,2302.61,5,0.05,1729.59,573.02,UPI,Express
2025-10-13,ORD-00059,CUST-10202,Corporate,Standing Desk,Furniture,West,Maharashtra,2415.35,5,0.15,1986.52,428.83,UPI,Express
2025-12-27,ORD-00060,CUST-10066,Corporate,USB Hub,Accessories,West,Goa,1099.94,3,0.0,930.6,169.34,Credit Card,Standard
2025-12-17,ORD-00061,CUST-10056,Small Business,Laptop Pro,Electronics,North,Uttar Pradesh,4849.86,4,0.0,3736.98,1112.88,Debit Card,Standard
2025-04-21,ORD-00062,CUST-10339,Corporate,Conference Table,Furniture,East,Bihar,5891.16,6,0.15,4129.36,1761.79,Debit Card,Express
2025-02-04,ORD-00063,CUST-10157,Corporate,Conference Table,Furniture,North,Haryana,1879.55,3,0.15,1177.27,702.29,Cash,Standard
2025-03-23,ORD-00064,CUST-10241,Small Business,Webcam,Accessories,North,Uttar Pradesh,480.12,1,0.1,336.29,,Bank Transfer,Standard
2025-10-08,ORD-00065,CUST-10127,Corporate,Desk Organizer,Office Supplies,North,Haryana,941.46,3,0.05,639.93,301.53,Debit Card,Standard
2025-03-13,ORD-00066,CUST-10032,Corporate,Webcam,Accessories,North,Delhi,592.29,2,0.05,498.12,94.17,Credit Card,Standard
2025-08-24,ORD-00067,CUST-10145,Consumer,Monitor 27,Electronics,North,Haryana,3052.22,3,0.0,2215.96,836.26,Bank Transfer,Standard
2025-05-17,ORD-00068,CUST-10243,Corporate,Mouse,Accessories,East,Odisha,705.84,2,0.0,457.29,248.56,Credit Card,Standard
2025-10-07,ORD-00069,CUST-10117,Corporate,Conference Table,Furniture,West,Maharashtra,1621.5,2,0.05,1080.95,540.54,Cash,Express
2025-08-10,ORD-00070,CUST-10212,Consumer,Bookshelf,Furniture,East,Jharkhand,6202.52,7,0.1,3851.4,2351.12,Bank Transfer,Same Day
2025-08-02,ORD-00071,CUST-10154,Consumer,Keyboard,Accessories,West,Maharashtra,397.7,1,0.05,340.26,57.44,Bank Transfer,Standard
2025-10-13,ORD-00072,CUST-10119,Small Business,Conference Table,Furniture,East,West Bengal,3234.53,5,0.1,1924.88,1309.65,Credit Card,Standard
2025-12-15,ORD-00073,CUST-10090,Consumer,Office Chair,Furniture,South,Kerala,5846.48,6,0.05,3413.49,,Bank Transfer,Express
2025-05-14,ORD-00074,CUST-10092,Consumer,Ink Cartridge,Office Supplies,West,Goa,1486.38,5,0.05,943.7,542.68,Cash,Standard
2025-07-13,ORD-00075,CUST-10090,Consumer,Laptop Pro,Electronics,West,Goa,7290.35,7,0.15,6001.87,1288.48,UPI,Same Day
2025-08-17,ORD-00076,CUST-10252,Consumer,Bookshelf,Furniture,West,Rajasthan,790.08,1,0.15,582.32,207.76,UPI,Standard
2025-10-28,ORD-00077,CUST-10119,Corporate,Monitor 27,Electronics,West,Goa,2712.2,3,0.05,2082.3,629.9,Debit Card,Standard
2025-06-25,ORD-00078,CUST-10260,Consumer,Monitor 27,Electronics,North,Haryana,2472.29,2,0.1,1699.26,773.04,Credit Card,Standard
2025-05-17,ORD-00079,CUST-10109,Consumer,Webcam,Accessories,North,Uttar Pradesh,1915.2,5,0.05,1150.28,764.92,Bank Transfer,Standard
2025-11-05,ORD-00080,CUST-10115,Small Business,Desk Organizer,Office Supplies,South,Tamil Nadu,1317.08,5,0.0,1102.2,214.89,Debit Card,Express
2025-12-14,ORD-00081,CUST-10324,Consumer,Standing Desk,Furniture,North,Uttar Pradesh,4122.21,7,0.1,2628.19,1494.02,Cash,Standard
2025-07-27,ORD-00082,CUST-10307,Consumer,Conference Table,Furniture,East,Jharkhand,2875.05,3,0.0,1696.04,1179.01,Credit Card,Express
2025-02-07,ORD-00083,CUST-10141,Small Business,Standing Desk,Furniture,South,Karnataka,1828.39,2,0.05,1374.61,453.79,Credit Card,Express
2025-04-16,ORD-00084,CUST-10095,Corporate,Printer Paper,Office Supplies,West,Gujarat,1626.83,7,0.1,984.21,642.62,UPI,Express
2025-06-18,ORD-00085,CUST-10251,Corporate,Keyboard,Accessories,West,Rajasthan,2809.55,5,0.0,1710.25,1099.3,Credit Card,Express
2025-09-14,ORD-00086,CUST-10025,Small Business,Keyboard,Accessories,West,Rajasthan,3342.44,6,0.0,2741.18,601.26,Credit Card,Standard
2025-09-02,ORD-00087,CUST-10160,Small Business,Bookshelf,Furniture,North,Uttar Pradesh,2381.3,4,0.05,1732.35,648.94,Bank Transfer,Standard
2025-10-27,ORD-00088,CUST-10210,Consumer,Bookshelf,Furniture,East,West Bengal,3280.4,4,0.2,2140.31,1140.1,Credit Card,Express
2025-01-11,ORD-00089,CUST-10237,Corporate,Standing Desk,Furniture,West,Rajasthan,2214.83,3,0.1,1516.25,698.58,Credit Card,Standard
2025-06-19,ORD-00090,CUST-10038,Corporate,Notebook Pack,Office Supplies,East,Bihar,2313.84,6,,1848.23,465.61,Credit Card,Standard
2025-09-13,ORD-00091,CUST-10002,Consumer,Conference Table,Furniture,West,Rajasthan,1411.03,2,0.0,846.49,564.55,Debit Card,Standard
2025-12-27,ORD-00092,CUST-10097,Small Business,Ink Cartridge,Office Supplies,North,Punjab,1542.48,7,0.1,948.54,593.94,Bank Transfer,Standard
2025-02-21,ORD-00093,CUST-10042,Consumer,Printer Paper,Office Supplies,East,Jharkhand,562.06,2,0.0,429.91,132.15,Cash,Express
2025-11-17,ORD-00094,CUST-10178,Small Business,Office Chair,Furniture,East,Odisha,2646.81,4,0.1,2017.12,629.7,UPI,Standard
2025-01-03,ORD-00095,CUST-10322,Corporate,Standing Desk,Furniture,East,West Bengal,2608.79,3,0.15,2274.18,334.61,Cash,Express
2025-03-13,ORD-00096,CUST-10101,Corporate,Standing Desk,Furniture,North,Haryana,4177.71,5,0.05,2892.5,1285.21,Credit Card,Same Day
2025-11-06,ORD-00097,CUST-10159,Consumer,Smartphone X,Electronics,East,West Bengal,4515.87,5,0.05,2707.37,1808.5,Cash,Standard
2025-10-15,ORD-00098,CUST-10076,Small Business,Tablet Air,Electronics,West,Gujarat,8493.55,7,0.0,6295.94,2197.61,UPI,Express
2025-12-22,ORD-00099,CUST-10016,Corporate,Desk Organizer,Office Supplies,West,,2286.53,6,0.0,1764.07,522.46,Bank Transfer,Standard
2025-08-08,ORD-00100,CUST-10247,Consumer,Bookshelf,Furniture,South,Tamil Nadu,2073.53,2,0.05,1289.49,784.04,Cash,Standard
2025-08-13,ORD-00101,CUST-10090,Consumer,Monitor 27,Electronics,South,Karnataka,2050.92,2,0.15,1529.7,521.22,UPI,Standard
2025-07-15,ORD-00102,CUST-10192,Corporate,Ink Cartridge,Office Supplies,North,Uttar Pradesh,1640.04,7,0.05,1048.53,591.51,Bank Transfer,Standard
2025-07-06,ORD-00103,CUST-10240,Consumer,Ink Cartridge,Office Supplies,West,Rajasthan,800.26,4,0.1,666.95,133.31,UPI,Standard
2025-07-07,ORD-00104,CUST-10294,Corporate,Tablet Air,Electronics,South,Kerala,1400.05,1,0.1,1162.81,237.24,Cash,Standard
2025-04-17,ORD-00105,CUST-10065,Corporate,Keyboard,Accessories,North,Punjab,3069.7,6,0.0,2176.07,893.62,Bank Transfer,Standard
2025-11-08,ORD-00106,CUST-10204,Consumer,Webcam,Accessories,North,Delhi,2326.23,5,0.0,2023.88,302.36,Cash,Standard
2025-05-11,ORD-00107,CUST-10319,Corporate,Notebook Pack,Office Supplies,East,Jharkhand,360.04,1,0.05,314.65,45.39,Cash,Express
2025-08-11,ORD-00108,CUST-10170,Consumer,Desk Organizer,Office Supplies,West,Goa,1130.0,6,0.1,699.21,430.78,Credit Card,Standard
2025-09-02,ORD-00109,CUST-10015,Small Business,Smartphone X,Electronics,West,Gujarat,6533.1,5,0.05,4509.89,2023.21,Debit Card,Express
2025-07-16,ORD-00110,CUST-10092,Small Business,Webcam,Accessories,South,Kerala,1556.17,5,0.1,1182.84,373.33,Bank Transfer,Same Day
2025-08-12,ORD-00111,CUST-10279,Consumer,Conference Table,Furniture,East,Odisha,3775.23,7,0.15,2285.72,1489.51,UPI,Express
2025-01-18,ORD-00112,CUST-10278,Corporate,Webcam,Accessories,West,Rajasthan,1460.11,4,0.15,1014.48,445.63,Credit Card,Standard
2025-04-26,ORD-00113,CUST-10111,Corporate,Printer Paper,Office Supplies,East,West Bengal,860.08,4,0.2,566.24,293.85,UPI,Express
2025-06-13,ORD-00114,CUST-10069,Small Business,Tablet Air,Electronics,North,Punjab,6856.86,5,0.15,5935.4,921.46,Cash,Express
2025-05-24,ORD-00115,CUST-10103,Consumer,Smartphone X,Electronics,West,Maharashtra,1777.45,2,0.15,1250.4,527.06,Credit Card,Same Day
2025-11-28,ORD-00116,CUST-10085,Corporate,Printer Paper,Office Supplies,South,Karnataka,619.71,2,0.15,501.23,118.49,Debit Card,Same Day
2025-11-24,ORD-00117,CUST-10260,Small Business,Printer Paper,Office Supplies,North,Haryana,1888.58,6,0.1,1314.47,574.11,Debit Card,Standard
2025-09-17,ORD-00118,CUST-10295,Consumer,Monitor 27,Electronics,North,Uttar Pradesh,2315.38,2,0.15,1434.48,880.9,Credit Card,Standard
2025-05-09,ORD-00119,CUST-10017,Corporate,Desk Organizer,Office Supplies,East,Jharkhand,1242.14,4,0.2,1042.09,200.05,Bank Transfer,Express
2025-01-19,ORD-00120,CUST-10260,Consumer,Webcam,Accessories,North,Punjab,738.11,2,0.1,428.2,309.92,Cash,Standard
2025-10-03,ORD-00121,CUST-10264,Corporate,Conference Table,Furniture,North,Haryana,1471.46,2,0.1,878.14,593.32,Debit Card,Standard
2025-11-19,ORD-00122,CUST-10215,Consumer,Conference Table,Furniture,North,Punjab,2978.75,5,0.1,2053.3,925.45,Cash,Express
2025-06-28,ORD-00123,CUST-10305,Small Business,Tablet Air,Electronics,West,Maharashtra,5106.13,6,0.15,4013.77,1092.36,UPI,Express
2025-10-29,ORD-00124,CUST-10014,Consumer,Ink Cartridge,Office Supplies,East,Bihar,1440.47,4,0.05,983.13,457.33,Cash,Standard
2025-12-06,ORD-00125,CUST-10245,Consumer,Standing Desk,Furniture,West,Goa,743.82,1,0.15,446.21,297.61,UPI,Standard
2025-07-19,ORD-00126,CUST-10045,Small Business,Keyboard,Accessories,East,Odisha,659.08,2,0.15,445.11,213.97,UPI,Standard
2025-03-18,ORD-00127,CUST-10314,Small Business,Standing Desk,Furniture,East,Odisha,1119.13,2,0.2,731.34,387.78,UPI,Standard
2025-01-09,ORD-00128,CUST-10175,Corporate,Ink Cartridge,Office Supplies,West,Rajasthan,1932.7,7,0.05,1124.11,808.59,Credit Card,Same Day
2025-10-04,ORD-00129,CUST-10032,Corporate,Laptop Pro,Electronics,West,Goa,3798.45,3,0.1,2812.52,985.92,Cash,Express
2025-07-25,ORD-00130,CUST-10262,Consumer,Laptop Pro,Electronics,North,Delhi,2578.7,3,0.15,1585.89,992.82,Credit Card,Standard
2025-02-26,ORD-00131,CUST-10263,Corporate,Printer Paper,Office Supplies,West,Rajasthan,281.38,1,0.2,187.47,93.91,Bank Transfer,Standard
2025-01-20,ORD-00132,CUST-10163,Consumer,Bookshelf,Furniture,South,Telangana,3334.57,4,0.15,2575.48,759.09,Debit Card,Express
2025-12-20,ORD-00133,CUST-10109,Consumer,Conference Table,Furniture,North,Punjab,6854.67,7,0.1,5466.84,1387.83,UPI,Express
2025-04-27,ORD-00134,CUST-10007,Small Business,USB Hub,Accessories,East,Bihar,964.73,3,0.1,635.79,328.94,Debit Card,Standard
2025-04-30,ORD-00135,CUST-10318,Corporate,Mouse,Accessories,North,Uttar Pradesh,2425.13,5,0.0,1646.07,779.05,Credit Card,Standard
2025-08-18,ORD-00136,CUST-10065,Consumer,Webcam,Accessories,West,Rajasthan,519.45,2,0.2,339.76,179.69,Credit Card,Standard
2025-05-14,ORD-00137,CUST-10295,Consumer,Smartphone X,Electronics,South,Tamil Nadu,2056.17,2,0.05,1782.83,273.33,Debit Card,Express
2025-11-30,ORD-00138,CUST-10207,Small Business,Ink Cartridge,Office Supplies,East,Bihar,1858.99,6,0.1,1184.46,674.52,Bank Transfer,Standard
2025-09-06,ORD-00139,CUST-10240,Consumer,Mouse,Accessories,South,Kerala,412.45,1,0.15,261.89,150.56,Debit Card,Standard
2025-05-11,ORD-00140,CUST-10243,Consumer,Standing Desk,Furniture,West,Rajasthan,2584.93,4,0.05,1844.38,740.56,Credit Card,Same Day
2025-04-08,ORD-00141,CUST-10301,Consumer,Tablet Air,Electronics,East,Jharkhand,4611.53,3,0.0,2936.58,1674.94,Bank Transfer,Express
2025-11-10,ORD-00142,CUST-10012,Consumer,Mouse,Accessories,East,Odisha,290.93,1,0.0,182.41,108.51,Bank Transfer,Same Day
2025-08-04,ORD-00143,CUST-10347,Consumer,Conference Table,Furniture,South,Karnataka,3254.64,4,0.15,1981.31,1273.33,Credit Card,Standard
2025-12-02,ORD-00144,CUST-10016,Small Business,Desk Organizer,Office Supplies,North,Uttar Pradesh,2534.97,7,0.1,1957.13,577.84,Cash,Standard
2025-05-06,ORD-00145,CUST-10350,Consumer,Keyboard,Accessories,East,Jharkhand,451.59,1,0.0,344.84,106.74,Cash,Same Day
2025-01-08,ORD-00146,CUST-10092,Corporate,Ink Cartridge,Office Supplies,West,Rajasthan,1951.29,6,0.1,1512.35,438.95,Bank Transfer,Same Day
2025-11-25,ORD-00147,CUST-10297,Corporate,Standing Desk,Furniture,East,Jharkhand,3637.45,4,0.05,2953.57,683.88,Credit Card,Same Day
2025-03-29,ORD-00148,CUST-10030,Corporate,Bookshelf,Furniture,East,Jharkhand,5533.5,6,0.15,3751.2,1782.3,Credit Card,Express
2025-11-05,ORD-00149,CUST-10162,Corporate,Standing Desk,Furniture,East,West Bengal,948.39,1,0.05,811.37,137.02,Debit Card,Standard
2025-09-17,ORD-00150,CUST-10190,Corporate,Monitor 27,Electronics,West,Maharashtra,9683.39,7,0.0,7746.34,1937.05,UPI,Standard
2025-03-26,ORD-00151,CUST-10335,Corporate,Notebook Pack,Office Supplies,South,Telangana,233.03,1,0.0,191.41,41.62,Credit Card,Standard
2025-10-04,ORD-00152,CUST-10044,Corporate,Keyboard,Accessories,South,Karnataka,3290.19,7,0.1,2619.94,670.25,UPI,Same Day
2025-01-30,ORD-00153,CUST-10013,Corporate,Smartphone X,Electronics,West,Gujarat,4590.29,5,0.05,3155.99,1434.3,UPI,Standard
2025-05-24,ORD-00154,CUST-10227,Corporate,Laptop Pro,Electronics,North,Haryana,4206.71,3,0.15,2797.08,1409.63,Bank Transfer,Express
2025-05-11,ORD-00155,CUST-10018,Corporate,Mouse,Accessories,West,Gujarat,332.06,1,0.05,234.68,97.37,UPI,Same Day
2025-08-28,ORD-00156,CUST-10273,Consumer,Laptop Pro,Electronics,North,Haryana,4584.93,5,0.05,2792.73,1792.21,Debit Card,Same Day
2025-07-15,ORD-00157,CUST-10014,Corporate,Office Chair,Furniture,West,Maharashtra,1079.58,1,0.05,772.31,307.26,Debit Card,Same Day
2025-08-12,ORD-00158,CUST-10340,Corporate,Standing Desk,Furniture,North,Punjab,3409.22,5,0.05,2021.47,1387.75,UPI,Standard
2025-06-23,ORD-00159,CUST-10187,Consumer,Desk Organizer,Office Supplies,North,Delhi,1340.5,6,0.15,779.07,561.42,Cash,Standard
2025-09-28,ORD-00160,CUST-10332,Small Business,Smartphone X,Electronics,North,Punjab,2809.94,2,0.0,2415.0,394.94,Cash,Same Day
2025-02-28,ORD-00161,CUST-10045,Consumer,Notebook Pack,Office Supplies,West,Goa,348.1,2,0.2,273.88,74.21,Bank Transfer,Standard
2025-09-20,ORD-00162,CUST-10096,Consumer,Bookshelf,Furniture,South,Telangana,1255.27,2,0.05,939.64,315.63,Bank Transfer,Standard
2025-01-19,ORD-00163,CUST-10160,Small Business,Desk Organizer,Office Supplies,West,Maharashtra,581.89,2,0.0,397.04,184.85,Credit Card,Same Day
2025-02-01,ORD-00164,CUST-10011,Consumer,Laptop Pro,Electronics,West,Gujarat,923.12,1,0.05,693.41,229.71,Cash,Express
2025-09-22,ORD-00165,CUST-10037,Consumer,Conference Table,Furniture,North,Uttar Pradesh,1425.49,2,0.0,1208.07,217.43,Bank Transfer,Standard
2025-02-27,ORD-00166,CUST-10116,Consumer,Office Chair,Furniture,East,Bihar,2374.83,5,0.15,1842.19,532.64,Debit Card,Standard
2025-10-09,ORD-00167,CUST-10258,Small Business,Laptop Pro,Electronics,South,Kerala,2938.45,3,0.1,2235.41,703.04,Bank Transfer,Standard
2025-02-18,ORD-00168,CUST-10248,Corporate,Monitor 27,Electronics,South,Tamil Nadu,5929.66,6,0.05,4257.86,1671.8,Cash,Same Day
2025-02-23,ORD-00169,CUST-10031,Corporate,Laptop Pro,Electronics,East,Jharkhand,4191.28,6,0.1,2865.62,1325.66,Bank Transfer,Standard
2025-12-07,ORD-00170,CUST-10021,Corporate,Conference Table,Furniture,South,Karnataka,5264.67,6,0.1,4156.79,1107.88,UPI,Standard
2025-03-06,ORD-00171,CUST-10230,Corporate,Smartphone X,Electronics,West,Rajasthan,4236.87,4,0.2,3704.27,532.6,Credit Card,Standard
2025-11-30,ORD-00172,CUST-10126,Small Business,Mouse,Accessories,East,West Bengal,712.29,3,0.2,503.9,208.4,UPI,Express
2025-05-08,ORD-00173,CUST-10278,Small Business,Conference Table,Furniture,West,Maharashtra,4838.96,7,0.1,3375.95,1463.0,Credit Card,Same Day
2025-10-19,ORD-00174,CUST-10105,Consumer,USB Hub,Accessories,South,Kerala,962.65,2,0.15,681.97,280.67,Cash,Standard
2025-12-09,ORD-00175,CUST-10127,Small Business,USB Hub,Accessories,West,Goa,1593.27,4,0.15,1127.5,465.77,UPI,Standard
2025-02-12,ORD-00176,CUST-10077,Corporate,Smartphone X,Electronics,West,Rajasthan,4055.46,4,0.1,3557.4,498.06,Cash,Standard
2025-05-01,ORD-00177,CUST-10094,Consumer,Ink Cartridge,Office Supplies,East,Odisha,1545.39,6,0.1,1224.0,321.39,Credit Card,Standard
2025-07-29,ORD-00178,CUST-10248,Consumer,Keyboard,Accessories,South,Karnataka,1371.93,4,0.0,943.55,428.38,Debit Card,Standard
2025-11-12,ORD-00179,CUST-10165,Corporate,Desk Organizer,Office Supplies,South,Karnataka,1855.69,6,0.15,1283.12,572.57,Debit Card,Standard
2025-03-10,ORD-00180,CUST-10231,Consumer,Bookshelf,Furniture,North,Delhi,6574.53,7,0.2,4662.91,1911.62,UPI,Standard
2025-03-10,ORD-00181,CUST-10028,Corporate,Conference Table,Furniture,South,Karnataka,3515.25,3,0.0,2077.56,1437.69,UPI,Standard
2025-05-15,ORD-00182,CUST-10188,Consumer,Smartphone X,Electronics,South,Tamil Nadu,5673.44,7,0.15,4188.96,1484.48,Credit Card,Standard
2025-03-16,ORD-00183,CUST-10161,Corporate,Office Chair,Furniture,East,West Bengal,1222.09,2,0.2,1006.28,215.8,UPI,Standard
